STREET,AREA,roads_perc,roads_nodes,gdp,housing_price,pop_density,pois,zone_perc,access,access_5k
四团镇,奉贤区,0.203083226,930,192.3303976,14807,893.2099792,572,0.303227883,1.749474729,20.49573182
庄行镇,奉贤区,0.171025519,686,135.8232174,10727,662.2336915,533,0.195816855,4.691066923,6.763510636
柘林镇,奉贤区,0.164454414,1065,164.2361656,10016,547.421074,1038,0.299008585,17.49824858,35.03571774
海湾镇,奉贤区,0.115826463,687,43.45752743,17109,137.1292011,912,0.205492662,18.97060719,186.8758327
金汇镇,奉贤区,0.237286404,1342,202.1810853,21526,944.2073044,713,0.306907686,6.739153371,27.97831547
青村镇,奉贤区,0.202001591,1129,165.1450966,17976,765.4694562,639,0.292035878,11.56050811,106.3233786
友谊路街道,宝山区,0.284084046,129,128.7542788,34543,13248.05645,335,0.741560742,0.830660591,9.715093323
吴淞街道,宝山区,0.296653856,171,87.09943764,37273,9956.748118,232,0.695184135,1.982333506,17.32586501
大场镇,宝山区,0.224040875,708,372.2047334,41873,10221.61857,1045,0.754920993,1.663405181,5.875727922
庙行镇,宝山区,0.282706875,108,97.81543306,45015,16627.1538,219,0.821206333,1.01721882,3.808085821
张庙街道,宝山区,0.204812715,34,143.8483664,32583,30635.21949,206,0.85801495,0.921260094,3.701959741
月浦镇,宝山区,0.150255881,361,161.7424652,25791,3457.199727,881,0.726268711,0.94212887,3.029713505
杨行镇,宝山区,0.190627601,499,240.1752481,36944,6179.218684,1082,0.765669285,2.305873917,12.12944755
淞南镇,宝山区,0.209638982,257,128.1669258,38132,9196.659731,613,0.821862513,0.816365537,4.193378871
罗店镇,宝山区,0.200587287,542,215.8556841,32850,4954.240773,571,0.545555617,1.084419592,6.997074613
罗泾镇,宝山区,0.177001498,445,74.6764782,18594,1864.149652,273,0.449220206,3.310964504,8.31098208
顾村镇,宝山区,0.20303921,571,331.7560812,32691,8079.726728,849,0.616709783,3.382903682,24.28597054
高境镇,宝山区,0.277262818,102,128.474868,47627,18373.27394,278,0.870115256,0.157668602,0.569594825
凌云路街道,徐汇区,0.381237189,81,329.2485818,49793,22267.42562,378,0.85368235,0.32760293,2.628934831
华泾镇,徐汇区,0.298580116,120,188.4067947,64318,6285.674796,292,0.640230823,1.333412128,14.00128525
天平路街道,徐汇区,0.317180996,78,358.8466961,122928,32362.75041,586,0.851606266,0.190728315,1.970536797
康健新村街道,徐汇区,0.392840119,159,345.2177778,58902,20570.69423,296,0.808523538,0.54759788,3.186245719
徐家汇街道,徐汇区,0.37416012,137,432.2744543,116103,25761.29524,663,0.853929711,0.20955679,2.752118786
斜土路街道,徐汇区,0.311484967,94,265.0663648,135810,20191.36874,332,0.777785861,0.794583998,6.444545135
枫林路街道,徐汇区,0.392003794,156,396.3901975,79575,35713.64678,262,0.903430277,0.299563961,3.016730917
湖南路街道,徐汇区,0.437683141,60,192.5507784,94839,27145.21178,569,0.843840135,0.173932567,1.750247716
漕河泾街道,徐汇区,0.378531748,163,356.3991042,58597,16499.42511,537,0.887836763,1.626186854,6.409578516
田林街道,徐汇区,0.320821573,69,332.3648245,65675,19981.42176,353,0.843723443,0.497312592,2.990238913
虹梅路街道,徐汇区,0.319720199,92,101.8701799,72026,5628.42461,357,0.876384092,0.599296802,2.663020423
长桥街道,徐汇区,0.27767387,155,402.7217422,64054,16600.44804,375,0.710798822,1.298164556,13.06937724
