,STREET,AREA,road1,road2,gdp,price,pop,poi,build,access,access_5k,ln_access_5k,ln_road2,ln_gdp,ln_price,ln_pop,ln_poi
94,周家渡街道,浦东新区,0.285259528,99,540.8554838,49960,19494.17389,464,0.807757664,0.303677026,1.542962871,0.4337045102269589,4.59511985013459,6.293152115250191,10.818977964239513,9.87787092503794,6.139884552226255
95,唐镇,浦东新区,0.257084552,607,344.4640688,53669,2221.116305,792,0.61812757,2.921443888,24.08044848,3.1814002448519023,6.408528791059498,5.841989785449549,10.890590832614208,7.705765188574702,6.674561391814426
96,塘桥街道,浦东新区,0.422392185,138,297.8738405,62260,15406.49175,261,0.801667248,0.184027967,2.499729051,0.9161823464006619,4.927253685157205,5.696670042838942,11.039074443995599,9.642544241785558,5.564520407322694
97,张江镇,浦东新区,0.303958694,1187,595.1464521,48005,2580.683519,1628,0.578401945,1.084376297,35.83588916,3.5789498817514214,7.079184394609668,6.388807513241839,10.779060451131723,7.85580957267291,7.395107546562485
98,曹路镇,浦东新区,0.239064133,660,445.8913815,32501,1920.852008,1095,0.553541046,2.291156188,12.8841822,2.556000372939902,6.492239835020471,6.1000753831219,10.389026137075234,7.560524120758732,6.9985096422506015
99,沪东新村街道,浦东新区,0.246974436,80,371.8650752,29225,13703.11721,276,0.794260523,0.18228117,1.365182826,0.31128835812950667,4.382026634673881,5.918531087405934,10.282779786340269,9.52537861951102,5.62040086571715
100,洋泾街道,浦东新区,0.323063366,133,615.9539817,72328,15891.08895,355,0.774241246,0.29647476,4.708159966,1.5492971663059403,4.890349128221754,6.423172255710492,11.188966608417202,9.673513787704994,5.872117789475416
101,浦兴路街道,浦东新区,0.284262174,107,564.8896085,43621,18388.62063,485,0.801259594,0.47257049,5.159930795,1.6409231675818268,4.672828834461906,6.336630328870819,10.68329396475648,9.819487308259951,6.184148890937483
102,潍坊新村街道,浦东新区,0.311701192,93,481.4791212,67808,25678.38615,376,0.827916125,0.148800258,4.849994453,1.5789775612373975,4.532599493153256,6.176862868304252,11.124435461068026,10.153404911202923,5.929589143389895
103,花木街道,浦东新区,0.276519562,475,799.2185661,73984,7768.362984,1329,0.66790088,0.915352497,11.80101922,2.4681859023178214,6.163314804034641,6.683634457920367,11.211604132591996,8.95781473699478,7.192182058713246
104,金杨新村街道,浦东新区,0.303666594,143,699.2041412,55337,17410.88437,426,0.788458364,0.635980246,2.829859018,1.0402268934531096,4.962844630259907,6.549942747092665,10.921197041535379,9.764850828140709,6.054439346269371
105,金桥镇,浦东新区,0.265914594,472,197.0277156,90858,1536.012161,1542,0.691726916,1.996223146,30.66674541,3.423178856095025,6.156978985585555,5.283344407167188,11.41705312718471,7.336944830993984,7.340835554123275
106,陆家嘴街道,浦东新区,0.413233791,370,600.3571024,48567,18336.34093,999,0.719277426,0.227113844,7.255437401,1.9817511741121905,5.91350300563827,6.397524648838996,10.790699566909616,9.816640212818921,6.906754778648554
107,高东镇,浦东新区,0.235651874,528,201.6621883,33434,1143.896166,803,0.708044728,5.478304339,31.27270264,3.442745596900299,6.269096283706261,5.306593962339298,10.417328625262575,7.042195403834429,6.688354713946762
108,高桥镇,浦东新区,0.17127929,422,472.6911591,32348,2427.596732,600,0.633462641,2.245477696,26.67585536,3.283758862653096,6.045005314036012,6.158442234641424,10.384307474215714,7.794657047775261,6.396929655216146
109,高行镇,浦东新区,0.230261465,379,394.1406053,45968,3488.07182,654,0.642083314,1.283412255,20.4962588,3.020242371928681,5.937536205082426,5.976707711879976,10.735700781219071,8.157104375413217,6.483107351457199
110,凉城新村街道,虹口区,0.44704292,266,196.7786004,51627,30141.67715,179,0.856954141,0.213076829,1.282906524,0.24912822561372305,5.583496308781699,5.282079240900892,10.85180007043302,10.313664115954174,5.187385805840755
111,嘉兴路街道,虹口区,0.530289497,125,175.785314,80253,33459.03859,312,0.862381504,0.231209,2.206019725,0.7911898623144543,4.8283137373023015,5.169263443650084,11.292939423471099,10.418077241013846,5.7430031878094825
112,广中路街道,虹口区,0.502463278,164,233.4861596,53800,39877.74001,174,0.891167617,0.377197776,2.29017495,0.8286282120279297,5.099866427824199,5.453122801690529,10.893028746149875,10.593573552710705,5.159055299214529
113,北外滩街道,虹口区,0.521039279,240,163.9311815,79846,20607.3124,464,0.766730765,0.210216717,3.909678587,1.3634551678051388,5.480638923341991,5.099446714756991,11.287855058462304,9.933401262664203,6.139884552226255
114,曲阳路街道,虹口区,0.476288847,135,216.8541474,56556,35280.00971,218,0.863426905,0.148872049,2.160247597,0.7702228433674997,4.90527477843843,5.3792249957613825,10.942986576711732,10.471071785347448,5.384495062789089
115,欧阳路街道,虹口区,0.414521384,47,151.157297,56279,44656.84293,189,0.808039964,0.343187507,3.635268344,1.2906829305441083,3.8501476017100584,5.018320996606669,10.938076742769116,10.706762831672837,5.241747015059643
116,江湾镇街道,虹口区,0.4519355,244,275.653865,51352,32368.44314,193,0.888350876,0.119478565,0.630516496,-0.46121596055700675,5.497168225293202,5.619145966341348,10.846459162991614,10.384939249995965,5.262690188904886
117,亭林镇,金山区,0.136606487,880,140.7524999,12125,473.4129261,2014,0.226672414,16.61072382,39.38264015,3.673325113878889,6.779921907472252,4.947003028140934,9.403024715805683,6.159968001523337,7.607878073278507
118,金山卫镇,金山区,0.133030046,262,128.8297219,10155,959.3082897,650,0.272967079,9.847970847,4.533630126,1.5115229709014855,5.568344503761097,4.858491547142406,9.225721474014485,6.866212493191757,6.476972362889683
119,吕巷镇,金山区,0.119230617,244,101.8276317,10251,698.4176613,545,0.154852054,44.56707947,127.2596763,4.8462296941899075,5.497168225293202,4.623281498523349,9.235130540783402,6.548817292435891,6.300785794663244
120,山阳镇,金山区,0.212633312,565,161.8164829,15846,1559.817629,850,0.428782121,3.177624393,5.432475162,1.6923948610257085,6.336825731146441,5.0864628715000615,9.670672381525188,7.352324188922541,6.745236349484363
121,廊下镇,金山区,0.107377753,215,73.09532956,7886,637.0627911,395,0.129065769,29.10067817,20.84998114,3.0373530436880465,5.3706380281276624,4.291764473606538,8.972844314437573,6.456868223869566,5.978885764901122
122,张堰镇,金山区,0.165379945,226,69.4314954,10087,810.8040698,442,0.213028173,11.10589182,148.3894834,4.999840461645306,5.420534999272286,4.240340588773192,9.219002745054835,6.698026434052174,6.091309882077698
123,朱泾镇,金山区,0.164627573,756,207.4171266,8995,1118.877701,958,0.24530569,0.82655997,6.856267156,1.9251631472807522,6.628041376179533,5.334731870013854,9.104424146384634,7.020081409220141,6.86484777797086
124,枫泾镇,金山区,0.116686218,654,157.8267023,10910,702.172685,990,0.212234965,6.15377862,3.656847331,1.2966013912353793,6.483107351457199,5.06149761019267,9.297435078827116,6.554179363803715,6.897704943128636
125,漕泾镇,金山区,0.15421572,368,70.02702162,6997,566.7983708,640,0.197829968,22.62398573,5.322574379,1.6719570921359534,5.908082938168931,4.248881190704451,8.853236764745898,6.340003633429896,6.461468176353717
126,石化街道,金山区,0.19877254,126,127.0259881,13455,2981.48631,334,0.764227327,1.488861073,6.629171718,1.8914798669816775,4.836281906951478,4.844391696233245,9.507106063161006,8.00017721690412,5.811140992976701
127,仙霞新村街道,长宁区,0.448751781,106,326.3131807,46767,36064.71639,483,0.871125837,0.182607295,2.722616115,1.0015932250532282,4.663439094112067,5.787857597205753,10.75293310498079,10.493070281049928,6.180016653652572
